"","V1","V2","V3","V4"
"1",0.00217378675985475,1,2.09047694321057e-06,5.99953848506209
"2",0.00196993613001454,1,8.35974311479977e-07,5.99955580971879
"3",0.00211917264683495,1,2.0681088188471e-06,5.99956398402874
"4",0.00285829638159784,1,-1.00025919458861e-06,5.99976619040241
"5",0.00296717853670986,1,-1.08542244415336e-06,5.99976515292034
"6",0.00344240493889826,1,9.60161960039185e-07,5.9997824233844
"7",0.00286404713793273,1,-9.99466911335914e-07,5.99978865195969
"8",0.00287514763370478,1,-1.00639466682778e-06,5.999789272083
"9",0.00250809052443587,1,-9.12175320105749e-08,5.99979909329141
"10",0.00274727262430238,1,9.59576001597068e-07,5.9997993881042
"11",0.00224888465453948,1,1.44332793026937e-06,5.99983207757857
"12",0.00197771570364377,1,1.53667587969802e-07,5.99982777998231
"13",0.00200893348678019,1,1.53315008569266e-07,5.99982616307196
"14",0.00221024676323427,1,1.42238168432207e-06,5.99981849341521
"15",0.00228275383650847,1,1.46092368180457e-06,5.99981933890045
"16",0.00249928108539878,1,-1.0108328689657e-07,5.99984925954089
"17",0.00230917822997683,1,1.42675688898648e-06,5.99985773813741
"18",0.00257271691719127,1,-4.08186149362294e-08,5.99985764418867
"19",0.002604581737845,1,-1.25745298737216e-08,5.99985819306897
"20",0.00228505095912188,1,1.42272595582347e-06,5.99986968140978
"21",0.002569204630117,1,-4.99123681396085e-08,5.99985440553079
"22",0.00256700001484088,1,-5.19187160981682e-08,5.99985436164604
"23",0.00193153278035857,1,2.17652829293574e-07,5.99978760562639
"24",0.00158404396574528,1,-3.11558756428953e-07,5.99981762309433
"25",0.00187443086050418,1,2.43167397147362e-07,5.99980792758836
"26",0.00175832925266559,1,2.2203580109446e-07,5.99980524860077
"27",0.00170959141387456,1,-3.14199515313064e-07,5.9998063645004
"28",0.0017874511387078,1,2.27343784250476e-07,5.99980305909475
"29",0.00165859895768904,1,-3.13840409648159e-07,5.99979747791016
"30",0.000851985038241946,1,3.02421728503387e-07,5.9996706461572
"31",0.000839773998022808,1,3.8699353287868e-07,5.99967180789853
"32",0.00105359574326861,1,-4.07209724567794e-08,5.99965081978208
"33",0.000500363428946418,1,1.27500397501283e-06,5.99958944389117
"34",0.00123586177472059,1,5.0800387289984e-08,5.99957853396236
"35",0.000264833357222016,1,6.33402040650348e-07,5.99946224124276
"36",-0.00016794699003018,1,3.72263156880437e-07,5.9994645468972
"37",-0.00113161699819016,1,1.17134897530343e-06,5.99924873213318
"38",-0.0015769397959441,1,1.106790506895e-06,5.99921156323149
"39",-0.00012032623695539,1,-4.6354500049656e-07,5.99882492697902
"40",-0.00042550536979785,1,2.03175195729082e-06,5.99883240473875
"41",1.41910996879228e-05,1,-2.56862867954424e-07,5.99879288540175
"42",-0.000288631594593941,1,1.39305438125619e-06,5.9987654998578
"43",-0.00112516755719913,1,-5.22232570993879e-07,5.99871407717889
"44",-0.00137816494536337,1,-6.14340980061131e-07,5.99873096833952
"45",-0.00191318407476576,1,-7.86244964631202e-07,5.99870495800515
"46",-0.00191256738257106,1,-7.86978012277794e-07,5.99870497556214
"47",-0.00331086408622759,1,-4.50373492529451e-07,5.99845497794984
"48",-0.00304592968807763,1,-3.36023556515491e-07,5.99841145728561
"49",-0.00352934236783386,1,-6.40012243558665e-07,5.9983976578354
"50",-0.00352036337790321,1,-6.35729678158004e-07,5.99839718265253
"51",-0.00409841100443576,1,-1.82919547243645e-06,5.99843778473797
"52",-0.00302727988773711,1,-1.22734291782178e-06,5.99817894253822
"53",-0.00291357275218607,1,-1.18620556452603e-06,5.99819444898057
"54",-0.00360457548465383,1,-1.60859717807395e-06,5.99816670302923
"55",-0.00304407145864637,1,-1.66923884216127e-06,5.99802802155591
"56",-0.00286874101384455,1,-1.55886336480999e-06,5.99802011042219
"57",-0.00416020762114963,1,-1.38701294826599e-06,5.99781946538541
"58",-0.00479490629902477,1,-2.45588706059191e-06,5.99783178261318
"59",-0.00431348179436123,1,-1.59979788821133e-06,5.99778474467174
"60",-0.00369442963115816,1,-1.63073777814158e-06,5.99786421776412
"61",-0.00298627636947968,1,-1.75477486863069e-06,5.99768158413347
"62",-0.00323552723904398,1,-1.94972877163043e-06,5.99771652178552
"63",-0.00271697659072696,1,-1.54390972810037e-06,5.99775607791248
"64",-0.00239684495097108,1,-1.64188409826051e-06,5.99767833269664
"65",-0.00161556235838393,1,-1.30488771042693e-06,5.99777273458608
"66",-0.00136287383616972,1,-1.1262315654874e-06,5.99777484725863
"67",-0.000358507904412496,1,1.14063191078513e-06,5.99799017608408
"68",4.49088786687318e-05,1,-1.03898814790861e-06,5.99803249479684
"69",-0.00194670291837849,1,-1.2740523165506e-07,5.99837259376792
"70",-0.00195543850119859,1,-1.04091078912963e-07,5.99837275961505
"71",-0.00297553429061021,1,-5.71130071679327e-07,5.99838423252206
"72",-0.00241923991343392,1,-3.77676954116962e-07,5.99839401911386
"73",-0.00191553173358997,1,-4.86496584111913e-07,5.99844546563869
"74",-0.00297837848113512,1,-1.89288427915402e-07,5.99828023419875
