"","SPY","XLP","XLK","XLY","XLI","XLB","XLF","XLU","XLE","XLV"
"1",-3.50943050943051,-3.50991950991951,-3.50904950904951,-3.50820650820651,-3.50812850812851,-3.50896250896251,-3.50855450855451,-3.51096051096051,-3.51022851022851,-3.51089451089451
"2",-3.50964050964051,-3.51026151026151,-3.50927750927751,-3.50850950850951,-3.50871650871651,-3.50888150888151,-3.50847350847351,-3.51112251112251,-3.51030651030651,-3.51159051159051
"3",-3.50949350949351,-3.50999150999151,-3.50931350931351,-3.50854250854251,-3.50829350829351,-3.50874050874051,-3.50830250830251,-3.51104151104151,-3.51050751050751,-3.51092151092151
"4",-3.50881250881251,-3.50957150957151,-3.50872250872251,-3.50778950778951,-3.50760650760651,-3.50799650799651,-3.50725850725851,-3.51052851052851,-3.50972750972751,-3.51023451023451
"5",-3.50870450870451,-3.50931650931651,-3.50880950880951,-3.50734850734851,-3.50736650736651,-3.50813450813451,-3.50747750747751,-3.51069051069051,-3.50982050982051,-3.50996450996451
"6",-3.50823650823651,-3.50901350901351,-3.50834750834751,-3.50701550701551,-3.50663150663151,-3.50718350718351,-3.50672450672451,-3.51018051018051,-3.50938850938851,-3.50964050964051
"7",-3.50881550881551,-3.50964950964951,-3.50879150879151,-3.50765750765751,-3.50751050751051,-3.50810150810151,-3.50688350688351,-3.51086151086151,-3.51029451029451,-3.51025251025251
"8",-3.50880350880351,-3.50965850965851,-3.50864150864151,-3.50733350733351,-3.50748350748351,-3.50851550851551,-3.50700050700051,-3.51092751092751,-3.51070251070251,-3.51018351018351
"9",-3.50917550917551,-3.50990150990151,-3.50914550914551,-3.50759450759451,-3.50790050790051,-3.50884250884251,-3.50703350703351,-3.51104451104451,-3.51126651126651,-3.51065751065751
"10",-3.50893550893551,-3.50974850974851,-3.50910650910651,-3.50754350754351,-3.50733950733951,-3.50842250842251,-3.50701550701551,-3.51050751050751,-3.51061851061851,-3.51022251022251
"11",-3.50944250944251,-3.51003051003051,-3.50946950946951,-3.50811350811351,-3.50808950808951,-3.50923250923251,-3.50791850791851,-3.51118551118551,-3.51137151137151,-3.51051651051651
"12",-3.50971250971251,-3.51045351045351,-3.50965850965851,-3.50861750861751,-3.50856050856051,-3.50941550941551,-3.50797250797251,-3.51112851112851,-3.51117351117351,-3.51088851088851
"13",-3.50968250968251,-3.51043851043851,-3.50993150993151,-3.50859650859651,-3.50865050865051,-3.50918750918751,-3.50791250791251,-3.51084351084351,-3.51075951075951,-3.51085851085851
"14",-3.50947850947851,-3.51051351051351,-3.50944850944851,-3.50826650826651,-3.50856950856951,-3.50896550896551,-3.50776250776251,-3.51111651111651,-3.51028551028551,-3.51095151095151
"15",-3.50940650940651,-3.51061851061851,-3.50935850935851,-3.50820650820651,-3.50858150858151,-3.50876450876451,-3.50785250785251,-3.51066051066051,-3.50983550983551,-3.51087951087951
"16",-3.50919950919951,-3.51064851064851,-3.50908250908251,-3.50813150813151,-3.50835050835051,-3.50845850845851,-3.50738450738451,-3.51075951075951,-3.50962250962251,-3.51070851070851
"17",-3.50939150939151,-3.51079851079851,-3.50935250935251,-3.50824550824551,-3.50858750858751,-3.50829950829951,-3.50770250770251,-3.51099051099051,-3.50971250971251,-3.51108051108051
"18",-3.50912750912751,-3.51064251064251,-3.50900450900451,-3.50805350805351,-3.50832050832051,-3.50817050817051,-3.50749250749251,-3.51067551067551,-3.50937350937351,-3.51095451095451
"19",-3.50909450909451,-3.51037851037851,-3.50897750897751,-3.50810750810751,-3.50837450837451,-3.50828450828451,-3.50755850755851,-3.51033051033051,-3.50937350937351,-3.51105951105951
"20",-3.50941850941851,-3.51072051072051,-3.50931350931351,-3.50845850845851,-3.50876150876151,-3.50891750891751,-3.50762750762751,-3.51099351099351,-3.50979950979951,-3.51135051135051
"21",-3.50913050913051,-3.51079551079551,-3.50878250878251,-3.50777150777151,-3.50838950838951,-3.50895050895051,-3.50686250686251,-3.51106251106251,-3.50975750975751,-3.51157851157851
"22",-3.50913350913351,-3.51086751086751,-3.50864750864751,-3.50772350772351,-3.50811350811351,-3.50924150924151,-3.50701850701851,-3.51101451101451,-3.50990750990751,-3.51153651153651
"23",-3.50974850974851,-3.51111951111951,-3.50921450921451,-3.50845250845251,-3.50879450879451,-3.51002151002151,-3.50849450849451,-3.51146451146451,-3.51028251028251,-3.51162951162951
"24",-3.51010251010251,-3.51119451119451,-3.50955650955651,-3.50902250902251,-3.50937350937351,-3.51044451044451,-3.50882450882451,-3.51177351177351,-3.51087651087651,-3.51182751182751
"25",-3.50981150981151,-3.51097851097851,-3.50955350955351,-3.50869550869551,-3.50883050883051,-3.51033651033651,-3.50844350844351,-3.51134151134151,-3.51015951015951,-3.51155751155751
"26",-3.50992550992551,-3.51093051093051,-3.50963150963151,-3.50849150849151,-3.50887250887251,-3.51021651021651,-3.50874650874651,-3.51126351126351,-3.51019251019251,-3.51210651210651
"27",-3.50997650997651,-3.51088251088251,-3.50977250977251,-3.50796050796051,-3.50863250863251,-3.50989550989551,-3.50894150894151,-3.51116451116451,-3.51040551040551,-3.51250551250551
"28",-3.50989550989551,-3.51102651102651,-3.50982050982051,-3.50817050817051,-3.50855150855151,-3.50978750978751,-3.50912150912151,-3.51101151101151,-3.50952650952651,-3.51243351243351
"29",-3.51002451002451,-3.51112251112251,-3.50983250983251,-3.50800250800251,-3.50870150870151,-3.50977550977551,-3.50949650949651,-3.51092151092151,-3.50965550965551,-3.51253251253251
"30",-3.51079251079251,-3.51194751194751,-3.51043251043251,-3.50887550887551,-3.50947250947251,-3.51091251091251,-3.51057051057051,-3.51159951159951,-3.51029751029751,-3.51313851313851
"31",-3.51080451080451,-3.51183651183651,-3.51058551058551,-3.50923850923851,-3.50969150969151,-3.51100251100251,-3.51049551049551,-3.51164451164451,-3.51025551025551,-3.51301251301251
"32",-3.51058551058551,-3.51187251187251,-3.51034551034551,-3.50865050865051,-3.50897150897151,-3.51088851088851,-3.51012051012051,-3.51172251172251,-3.51058551058551,-3.51255951255951
"33",-3.51111951111951,-3.51209751209751,-3.51106551106551,-3.50931050931051,-3.50995850995851,-3.51122751122751,-3.51071151071151,-3.51143751143751,-3.51050451050451,-3.51321051321051
"34",-3.51038151038151,-3.51166851166851,-3.51030351030351,-3.50846750846751,-3.50904050904051,-3.51081951081951,-3.50976950976951,-3.51067851067851,-3.50961950961951,-3.51292251292251
